stop_id,stop_name,Line,current_pop_pulled
B17,71 St,West End,16035
250,Crown Hts-Utica Av,Eastern Pky,35520
709,82 St-Jackson Hts,Flushing,43715
J23,Van Siclen Av,Jamaica,9471
L11,Graham Av,Canarsie,16681
J17,75 St-Elderts Ln,Jamaica,17977
702,Mets-Willets Point,Flushing,11862
638,Spring St,Lexington Av,2758
B10,57 St,6th Av - Culver,3814
227,110 St-Malcolm X Plaza,Lenox - White Plains Rd,9137
A19,96 St,8th Av - Fulton St,9688
R36,36 St,4th Av,10886
F04,Sutphin Blvd,Queens Blvd,11802
A55,Euclid Av,8th Av - Fulton St,16362
R22,Prince St,Broadway - Brighton,2021
111,181 St,Broadway - 7Av,18975
A02,Inwood-207 St,8th Av - Fulton St,6262
D33,Avenue J,Broadway - Brighton,12855
245,Beverly Rd,Nostrand,18990
708,90 St-Elmhurst Av,Flushing,54441
M14,Hewes St,Jamaica,10932
405,Bedford Park Blvd-Lehman College,Jerome Av,8979
L03,14 St-Union Sq,Canarsie,5494
L14,Morgan Av,Canarsie,4126
D15,47-50 Sts-Rockefeller Ctr,6th Av - Culver,427
135,Canal St,Broadway - 7Av,4025
A63,104 St,Liberty Av,9433
M21,Chambers St,Jamaica,7471
L05,3 Av,Canarsie,16459
D04,Kingsbridge Rd,Concourse,34192
249,Kingston Av,Eastern Pky,33688
R26,Rector St,Broadway,1081
J19,Cypress Hills,Jamaica,9186
A40,High St,8th Av - Fulton St,7454
G08,Forest Hills-71 Av,Queens Blvd,22469
L20,Wilson Av,Canarsie,9614
G33,Bedford-Nostrand Avs,Crosstown,18665
L26,Livonia Av,Canarsie,4240
131,18 St,Broadway - 7Av,7148
L19,Halsey St,Canarsie,15651
724,5 Av,Flushing,214
F21,Carroll St,6th Av - Culver,25489
241,President St-Medgar Evers College,Nostrand,6407
F29,Ditmas Av,6th Av - Culver,25691
F35,Kings Hwy,6th Av - Culver,11606
415,149 St-Grand Concourse,Jerome Av,1406
H07,Beach 60 St,Rockaway,8903
222,149 St-Grand Concourse,Lenox - White Plains Rd,4739
R31,Atlantic Av-Barclays Ctr,4th Av,6282
209,Burke Av,Lenox - White Plains Rd,18205
D25,7 Av,Broadway - Brighton,11807
D39,Sheepshead Bay,Broadway - Brighton,55533
B12,9 Av,West End,13079
A32,W 4 St-Wash Sq,8th Av - Fulton St,9801
G07,Jamaica-Van Wyck,Queens - Archer,12450
G24,21 St,Crosstown,3308
A11,155 St,8th Av - Fulton St,9395
413,167 St,Jerome Av,29944
101,Van Cortlandt Park-242 St,Broadway - 7Av,24950
A25,50 St,8th Av - Fulton St,29159
632,33 St,Lexington Av,27882
122,79 St,Broadway - 7Av,21517
A47,Kingston-Throop Avs,8th Av - Fulton St,34649
207,219 St,Lenox - White Plains Rd,18322
G12,Grand Av-Newtown,Queens Blvd,33183
N04,New Utrecht Av,Sea Beach,1748
A12,145 St,8th Av - Fulton St,18654
R05,Broadway,Astoria,23812
A43,Lafayette Av,8th Av - Fulton St,6439
D37,Avenue U,Broadway - Brighton,37756
A60,88 St,Liberty Av,21747
R35,25 St,4th Av,6274
G18,46 St,Queens Blvd,19147
G36,Fulton St,Crosstown,8048
639,Canal St,Lexington Av,1093
423,Borough Hall,Eastern Pky,5167
117,116 St-Columbia University,Broadway - 7Av,14239
608,Parkchester,Pelham,48953
634,23 St-Baruch College,Lexington Av,10364
H06,Beach 67 St,Rockaway,11499
408,183 St,Jerome Av,22879
F11,Lexington Av/53 St,Queens Blvd,30041
D26,Prospect Park,Broadway - Brighton,8251
129,28 St,Broadway - 7Av,3892
R24,City Hall,Broadway,1770
F07,75 Av,Queens Blvd,16531
N05,18 Av,Sea Beach,19431
112,168 St-Washington Hts,Broadway - 7Av,5123
302,145 St,Lenox - White Plains Rd,11134
A06,181 St,8th Av - Fulton St,14562
107,215 St,Broadway - 7Av,8661
J30,Gates Av,Jamaica,16290
715,40 St-Lowery St,Flushing,17151
F20,Bergen St,6th Av - Culver,14684
A48,Utica Av,8th Av - Fulton St,22564
Q03,72 St,Second Av,44548
231,Clark St,Clark St,10473
A22,72 St,8th Av - Fulton St,9693
A54,Shepherd Av,8th Av - Fulton St,15817
R41,59 St,4th Av,17299
602,Buhre Av,Pelham,32541
D11,161 St-Yankee Stadium,Concourse,17814
627,77 St,Lexington Av,20639
D32,Avenue H,Broadway - Brighton,14383
139,Rector St,Broadway - 7Av,8453
R08,39 Av-Dutch Kills,Astoria,4228
D21,Broadway-Lafayette St,6th Av - Culver,2882
J12,121 St,Jamaica,19015
134,Houston St,Broadway - 7Av,7786
F02,169 St,Queens Blvd,39746
F30,18 Av,6th Av - Culver,23143
501,Eastchester-Dyre Av,Dyre Av,19435
G31,Flushing Av,Crosstown,18080
B16,62 St,West End,6674
251,Sutter Av-Rutland Rd,Eastern Pky,46334
214,West Farms Sq-E Tremont Av,Lenox - White Plains Rd,32528
624,103 St,Lexington Av,20204
H10,Beach 25 St,Rockaway,24239
R21,8 St-NYU,Broadway - Brighton,7787
L12,Grand St,Canarsie,8087
902,Times Sq-42 St,Lexington - Shuttle,1666
256,Van Siclen Av,Eastern Pky,11320
701,Flushing-Main St,Flushing,281977
S04,Botanic Garden,Franklin Shuttle,8944
D05,Fordham Rd,Concourse,28054
236,Bergen St,Eastern Pky,4509
M08,Myrtle-Wyckoff Avs,Myrtle Av,11596
124,66 St-Lincoln Center,Broadway - 7Av,28604
F24,7 Av,6th Av - Culver,18136
617,Cypress Av,Pelham,12539
A18,103 St,8th Av - Fulton St,8484
H03,Howard Beach-JFK Airport,Rockaway,19840
244,Church Av,Nostrand,27968
710,74 St-Broadway,Flushing,18656
J24,Alabama Av,Jamaica,1909
L21,Bushwick Av-Aberdeen St,Canarsie,3271
R32,Union St,4th Av,13517
631,Grand Central-42 St,Lexington Av,1368
J16,85 St-Forest Pkwy,Jamaica,19153
B08,Lexington Av/63 St,63rd St,9892
R27,Whitehall St-South Ferry,Broadway,2016
217,Simpson St,Lenox - White Plains Rd,7347
L27,New Lots Av,Canarsie,8747
210,Allerton Av,Lenox - White Plains Rd,15635
D16,42 St-Bryant Pk,6th Av - Culver,1952
F36,Avenue U,6th Av - Culver,9871
416,138 St-Grand Concourse,Jerome Av,909
B20,20 Av,West End,21366
B13,Fort Hamilton Pkwy,West End,24345
F25,15 St-Prospect Park,6th Av - Culver,12859
138,WTC Cortlandt,Broadway - 7Av,9002
G26,Greenpoint Av,Crosstown,18310
M18,Delancey St-Essex St,Jamaica,36806
L06,1 Av,Canarsie,66026
D40,Brighton Beach,Broadway - Brighton,29271
A27,42 St-Port Authority Bus Terminal,8th Av - Fulton St,15920
R04,30 Av,Astoria,30830
402,Mosholu Pkwy,Jerome Av,13496
H11,Far Rockaway-Mott Av,Rockaway,65775
L02,6 Av,Canarsie,4864
601,Pelham Bay Park,Pelham,28077
723,Grand Central-42 St,Flushing,26540
613,Hunts Point Av,Pelham,16157
J20,Crescent St,Jamaica,13614
A64,111 St,Liberty Av,16710
A07,175 St,8th Av - Fulton St,17555
106,Marble Hill-225 St,Broadway - 7Av,19079
121,86 St,Broadway - 7Av,26593
206,225 St,Lenox - White Plains Rd,14797
G13,Elmhurst Av,Queens Blvd,29029
635,14 St-Union Sq,Lexington Av,5496
D27,Parkside Av,Broadway - Brighton,16737
248,Nostrand Av,Eastern Pky,10211
707,Junction Blvd,Flushing,45028
R44,86 St,4th Av,23617
412,170 St,Jerome Av,17360
221,3 Av-149 St,Lenox - White Plains Rd,32882
108,207 St,Broadway - 7Av,10888
125,59 St-Columbus Circle,Broadway - 7Av,10195
H04,Broad Channel,Rockaway,2370
A44,Clinton-Washington Avs,8th Av - Fulton St,11203
A49,Ralph Av,8th Av - Fulton St,20543
711,69 St,Flushing,19681
B23,Bay 50 St,West End,15855
G11,Woodhaven Blvd,Queens Blvd,30885
L17,Myrtle-Wyckoff Avs,Canarsie,9622
R09,Queensboro Plaza,Astoria,13044
M13,Lorimer St,Jamaica,12549
G06,Sutphin Blvd-Archer Av-JFK Airport,Queens - Archer,29355
716,33 St-Rawson St,Flushing,2913
A17,Cathedral Pkwy (110 St),8th Av - Fulton St,10810
F06,Kew Gardens-Union Tpke,Queens Blvd,26882
130,23 St,Broadway - 7Av,4481
A42,Hoyt-Schermerhorn Sts,8th Av - Fulton St,10270
R20,14 St-Union Sq,Broadway - Brighton,3808
224,135 St,Lenox - White Plains Rd,21111
N06,20 Av,Sea Beach,15601
A05,190 St,8th Av - Fulton St,8672
G35,Clinton-Washington Avs,Crosstown,13258
616,E 143 St-St Mary's St,Pelham,6368
J29,Halsey St,Jamaica,19228
D22,Grand St,6th Av - Culver,11066
N10,86 St,Sea Beach,3955
252,Saratoga Av,Eastern Pky,43318
M06,Seneca Av,Myrtle Av,17074
H15,Rockaway Park-Beach 116 St,Rockaway,15349
L13,Montrose Av,Canarsie,6424
D10,167 St,Concourse,37327
257,New Lots Av,Eastern Pky,36907
502,Baychester Av,Dyre Av,44835
G32,Myrtle-Willoughby Avs,Crosstown,22964
215,174 St,Lenox - White Plains Rd,30982
F09,Court Sq-23 St,Queens Blvd,3199
407,Fordham Rd,Jerome Av,18520
A21,81 St-Museum of Natural History,8th Av - Fulton St,4830
Q01,Canal St,Manhattan Bridge,2913
A53,Van Siclen Av,8th Av - Fulton St,11435
113,157 St,Broadway - 7Av,19360
603,Middletown Rd,Pelham,25561
R34,Prospect Av,4th Av,13159
E01,World Trade Center,8th Av - Fulton St,2147
S03,Park Pl,Franklin Shuttle,11178
