candidate_id,candidate_name,route,total_pop_pulled,neighbor_pop
CAND_L01_L02,8 Av – 6 Av,L,1935.0,"Dict(""A31"" => 974.0, ""132"" => 961.0)"
CAND_L05_L06,3 Av – 1 Av,L,7726.0,"Dict(""L06"" => 2377.0, ""L05"" => 5349.0)"
CAND_L10_L11,Lorimer St – Graham Av,L,7322.0,"Dict(""G28"" => 1285.0, ""L10"" => 2894.0, ""L11"" => 3143.0)"
CAND_L12_L13,Grand St – Montrose Av,L,1897.0,"Dict(""L12"" => 1897.0)"
CAND_L14_L15,Morgan Av – Jefferson St,L,6099.0,"Dict(""L14"" => 853.0, ""L15"" => 5246.0)"
CAND_L20_L21,Wilson Av – Bushwick Av-Aberdeen St,L,1116.0,"Dict(""L20"" => 1110.0, ""L21"" => 6.0)"
CAND_L22_L24,Broadway Junction – Atlantic Av,L,146.0,"Dict(""L24"" => 146.0)"
CAND_L26_L27,Livonia Av – New Lots Av,L,5.0,"Dict(""L26"" => 5.0)"
CAND_L28_L29,East 105 St – Canarsie-Rockaway Pkwy,L,7536.0,"Dict(""L28"" => 2394.0, ""L29"" => 5142.0)"
CAND_B04_B06,21 St-Queensbridge – Roosevelt Island,M,6834.0,"Dict(""B06"" => 4259.0, ""B04"" => 2575.0)"
CAND_B08_B10,Lexington Av/63 St – 57 St,M,1085.0,"Dict(""R13"" => 1085.0)"
CAND_D15_D16,47-50 Sts-Rockefeller Ctr – 42 St-Bryant Pk,M,633.0,"Dict(""902"" => 633.0)"
CAND_D20_D21,W 4 St-Wash Sq – Broadway-Lafayette St,M,8427.0,"Dict(""D21"" => 2882.0, ""A32"" => 4287.0, ""A33"" => 1258.0)"
CAND_G08_G09,Forest Hills-71 Av – 67 Av,M,16628.0,"Dict(""G09"" => 10097.0, ""G08"" => 6531.0)"
CAND_G10_G11,63 Dr-Rego Park – Woodhaven Blvd,M,24128.0,"Dict(""G11"" => 10308.0, ""G10"" => 13820.0)"
